Year,County,hospital,Surgery,# of Cases,LONGITUDE,LATITUDE
2017,Kern,Bakersfield Memorial Hospital,Colon,35,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Breast,41,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Lung,15,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Colon,40,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Breast,73,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Bladder,2,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Brain,16,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Colon,45,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Bladder,2,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Prostate,11,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Prostate,2,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Stomach,2,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Lung,16,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Rectum,13,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Lung,8,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Liver,1,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Rectum,8,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Lung,15,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Rectum,14,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Liver,3,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Prostate,16,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Rectum,9,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Prostate,5,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Stomach,5,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Breast,51,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Lung,26,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Bladder,1,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Brain,15,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Colon,34,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Brain,7,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Lung,22,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Rectum,6,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Colon,31,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Stomach,2,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Stomach,1,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Liver,2,-119.00658,35.39051
2021,Kern,Bakersfield Memorial Hospital,Pancreas,1,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Bladder,2,-119.00658,35.39051
2013,Kern,Bakersfield Memorial Hospital,Breast,61,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Liver,2,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Brain,18,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Breast,60,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Breast,85,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Stomach,4,-119.00658,35.39051
2017,Kern,Bakersfield Memorial Hospital,Pancreas,1,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Breast,57,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Pancreas,1,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Colon,43,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Rectum,8,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Prostate,3,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Lung,14,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Stomach,2,-119.00658,35.39051
2021,Kern,Bakersfield Memorial Hospital,Lung,11,-119.00658,35.39051
2019,Kern,Bakersfield Memorial Hospital,Prostate,10,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Colon,36,-119.00658,35.39051
2016,Kern,Bakersfield Memorial Hospital,Stomach,2,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Brain,14,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Pancreas,8,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Brain,17,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Lung,7,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Rectum,8,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Bladder,1,-119.00658,35.39051
2021,Kern,Bakersfield Memorial Hospital,Bladder,1,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Colon,37,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Rectum,10,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Stomach,3,-119.00658,35.39051
2015,Kern,Bakersfield Memorial Hospital,Breast,40,-119.00658,35.39051
2014,Kern,Bakersfield Memorial Hospital,Brain,15,-119.00658,35.39051
2018,Kern,Bakersfield Memorial Hospital,Bladder,1,-119.00658,35.39051
2021,Kern,Bakersfield Memorial Hospital,Breast,34,-119.00658,35.39051
2021,Kern,Bakersfield Memorial Hospital,Stomach,4,-119.00658,35.39051
2021,Kern,Bakersfield Memorial Hospital,Colon,32,-119.00658,35.39051
2020,Kern,Bakersfield Memorial Hospital,Prostate,9,-119.00658,35.39051
2021,Kern,Kern Medical Center,Colon,4,-118.967222,35.380833
2015,Kern,Kern Medical Center,Pancreas,2,-118.967222,35.380833
2014,Kern,Kern Medical Center,Pancreas,1,-118.967222,35.380833
2014,Kern,Kern Medical Center,Liver,5,-118.967222,35.380833
2017,Kern,Kern Medical Center,Rectum,5,-118.967222,35.380833
2013,Kern,Kern Medical Center,Colon,6,-118.967222,35.380833
2021,Kern,Kern Medical Center,Prostate,11,-118.967222,35.380833
2021,Kern,Kern Medical Center,Brain,1,-118.967222,35.380833
2020,Kern,Kern Medical Center,Stomach,1,-118.967222,35.380833
2014,Kern,Kern Medical Center,Lung,2,-118.967222,35.380833
2019,Kern,Kern Medical Center,Rectum,10,-118.967222,35.380833
2019,Kern,Kern Medical Center,Brain,4,-118.967222,35.380833
2014,Kern,Kern Medical Center,Breast,52,-118.967222,35.380833
2014,Kern,Kern Medical Center,Brain,5,-118.967222,35.380833
2014,Kern,Kern Medical Center,Rectum,3,-118.967222,35.380833
2017,Kern,Kern Medical Center,Brain,5,-118.967222,35.380833
2018,Kern,Kern Medical Center,Rectum,4,-118.967222,35.380833
2019,Kern,Kern Medical Center,Breast,12,-118.967222,35.380833
2014,Kern,Kern Medical Center,Stomach,2,-118.967222,35.380833
2020,Kern,Kern Medical Center,Brain,3,-118.967222,35.380833
2019,Kern,Kern Medical Center,Lung,2,-118.967222,35.380833
2020,Kern,Kern Medical Center,Prostate,9,-118.967222,35.380833
2018,Kern,Kern Medical Center,Stomach,1,-118.967222,35.380833
2020,Kern,Kern Medical Center,Colon,4,-118.967222,35.380833
2016,Kern,Kern Medical Center,Liver,6,-118.967222,35.380833
2016,Kern,Kern Medical Center,Brain,2,-118.967222,35.380833
2020,Kern,Kern Medical Center,Pancreas,1,-118.967222,35.380833
2015,Kern,Kern Medical Center,Breast,32,-118.967222,35.380833
2017,Kern,Kern Medical Center,Liver,4,-118.967222,35.380833
2017,Kern,Kern Medical Center,Pancreas,1,-118.967222,35.380833
2016,Kern,Kern Medical Center,Colon,12,-118.967222,35.380833
2017,Kern,Kern Medical Center,Stomach,1,-118.967222,35.380833
2017,Kern,Kern Medical Center,Lung,2,-118.967222,35.380833
2013,Kern,Kern Medical Center,Stomach,4,-118.967222,35.380833
2016,Kern,Kern Medical Center,Breast,34,-118.967222,35.380833
2019,Kern,Kern Medical Center,Prostate,13,-118.967222,35.380833
2017,Kern,Kern Medical Center,Prostate,12,-118.967222,35.380833
2017,Kern,Kern Medical Center,Colon,5,-118.967222,35.380833
2016,Kern,Kern Medical Center,Rectum,3,-118.967222,35.380833
2016,Kern,Kern Medical Center,Prostate,10,-118.967222,35.380833
2016,Kern,Kern Medical Center,Esophagus,1,-118.967222,35.380833
2018,Kern,Kern Medical Center,Liver,1,-118.967222,35.380833
2013,Kern,Kern Medical Center,Brain,3,-118.967222,35.380833
2013,Kern,Kern Medical Center,Liver,2,-118.967222,35.380833
2015,Kern,Kern Medical Center,Colon,5,-118.967222,35.380833
2021,Kern,Kern Medical Center,Rectum,3,-118.967222,35.380833
2021,Kern,Kern Medical Center,Breast,15,-118.967222,35.380833
2021,Kern,Kern Medical Center,Bladder,1,-118.967222,35.380833
2018,Kern,Kern Medical Center,Colon,5,-118.967222,35.380833
2018,Kern,Kern Medical Center,Prostate,23,-118.967222,35.380833
2018,Kern,Kern Medical Center,Breast,25,-118.967222,35.380833
2017,Kern,Kern Medical Center,Esophagus,2,-118.967222,35.380833
2020,Kern,Kern Medical Center,Rectum,7,-118.967222,35.380833
2014,Kern,Kern Medical Center,Colon,11,-118.967222,35.380833
2013,Kern,Kern Medical Center,Breast,31,-118.967222,35.380833
2018,Kern,Kern Medical Center,Brain,5,-118.967222,35.380833
2016,Kern,Kern Medical Center,Lung,2,-118.967222,35.380833
2013,Kern,Kern Medical Center,Rectum,3,-118.967222,35.380833
2017,Kern,Kern Medical Center,Breast,43,-118.967222,35.380833
2013,Kern,Kern Medical Center,Lung,1,-118.967222,35.380833
2015,Kern,Kern Medical Center,Rectum,2,-118.967222,35.380833
2019,Kern,Kern Medical Center,Colon,5,-118.967222,35.380833
2020,Kern,Kern Medical Center,Breast,11,-118.967222,35.380833
2017,Kern,Kern Medical Center,Bladder,1,-118.967222,35.380833
2015,Kern,Kern Medical Center,Liver,3,-118.967222,35.380833
2018,Kern,Kern Medical Center,Pancreas,1,-118.967222,35.380833
2015,Kern,Kern Medical Center,Brain,2,-118.967222,35.380833
2016,Kern,Kern Medical Center,Pancreas,1,-118.967222,35.380833
2021,Kern,Mercy Hospital – Bakersfield,Breast,109,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Prostate,22,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Pancreas,1,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Stomach,3,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Breast,82,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Rectum,22,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Rectum,3,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Liver,1,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Lung,4,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Stomach,1,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Colon,11,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Stomach,1,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Rectum,17,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Lung,3,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Rectum,30,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Liver,1,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Prostate,17,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Rectum,5,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Brain,1,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Bladder,2,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Breast,77,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Liver,2,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Breast,63,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Rectum,3,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Breast,63,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Brain,7,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Rectum,6,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Prostate,17,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Brain,6,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Colon,18,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Stomach,2,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Pancreas,1,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Liver,1,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Colon,39,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Rectum,31,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Breast,107,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Brain,3,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Prostate,12,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Brain,7,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Bladder,2,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Lung,1,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Breast,100,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Prostate,15,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Bladder,1,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Rectum,5,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Colon,16,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Colon,14,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Bladder,2,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Breast,64,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Lung,1,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Pancreas,1,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Colon,21,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Colon,19,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Prostate,30,-119.02715,35.37323
2015,Kern,Mercy Hospital – Bakersfield,Stomach,1,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Colon,43,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Lung,1,-119.02715,35.37323
2021,Kern,Mercy Hospital – Bakersfield,Brain,10,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Stomach,1,-119.02715,35.37323
2019,Kern,Mercy Hospital – Bakersfield,Brain,2,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Prostate,10,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Lung,4,-119.02715,35.37323
2014,Kern,Mercy Hospital – Bakersfield,Prostate,20,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Brain,4,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Brain,2,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Liver,2,-119.02715,35.37323
2020,Kern,Mercy Hospital – Bakersfield,Breast,88,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Bladder,1,-119.02715,35.37323
2016,Kern,Mercy Hospital – Bakersfield,Pancreas,1,-119.02715,35.37323
2013,Kern,Mercy Hospital – Bakersfield,Bladder,1,-119.02715,35.37323
2017,Kern,Mercy Hospital – Bakersfield,Colon,18,-119.02715,35.37323
2018,Kern,Mercy Hospital – Bakersfield,Prostate,17,-119.02715,35.37323
2013,Kern,Good Samaritan Hospital – Bakersfield,Prostate,1,-119.03913,35.41216
2015,Kern,Good Samaritan Hospital – Bakersfield,Prostate,1,-119.03913,35.41216
2017,Kern,Good Samaritan Hospital – Bakersfield,Breast,1,-119.03913,35.41216
2020,Kern,Good Samaritan Hospital – Bakersfield,Colon,1,-119.03913,35.41216
2016,Kern,Good Samaritan Hospital – Bakersfield,Colon,1,-119.03913,35.41216
2017,Kern,Good Samaritan Hospital – Bakersfield,Prostate,3,-119.03913,35.41216
2016,Kern,Good Samaritan Hospital – Bakersfield,Breast,1,-119.03913,35.41216
2019,Kern,Good Samaritan Hospital – Bakersfield,Liver,1,-119.03913,35.41216
2015,Kern,Good Samaritan Hospital – Bakersfield,Breast,1,-119.03913,35.41216
2021,Kern,Ridgecrest Regional Hospital,Rectum,1,-117.66996,35.6404
2016,Kern,Ridgecrest Regional Hospital,Pancreas,1,-117.66996,35.6404
2017,Kern,Ridgecrest Regional Hospital,Rectum,1,-117.66996,35.6404
2015,Kern,Ridgecrest Regional Hospital,Colon,3,-117.66996,35.6404
2013,Kern,Ridgecrest Regional Hospital,Colon,4,-117.66996,35.6404
2017,Kern,Ridgecrest Regional Hospital,Breast,8,-117.66996,35.6404
2019,Kern,Ridgecrest Regional Hospital,Rectum,1,-117.66996,35.6404
2021,Kern,Ridgecrest Regional Hospital,Colon,5,-117.66996,35.6404
2016,Kern,Ridgecrest Regional Hospital,Colon,5,-117.66996,35.6404
2018,Kern,Ridgecrest Regional Hospital,Breast,8,-117.66996,35.6404
2015,Kern,Ridgecrest Regional Hospital,Breast,5,-117.66996,35.6404
2019,Kern,Ridgecrest Regional Hospital,Colon,5,-117.66996,35.6404
2013,Kern,Ridgecrest Regional Hospital,Rectum,1,-117.66996,35.6404
2016,Kern,Ridgecrest Regional Hospital,Breast,11,-117.66996,35.6404
2013,Kern,Ridgecrest Regional Hospital,Breast,6,-117.66996,35.6404
2014,Kern,Ridgecrest Regional Hospital,Colon,3,-117.66996,35.6404
2014,Kern,Ridgecrest Regional Hospital,Breast,10,-117.66996,35.6404
2021,Kern,Ridgecrest Regional Hospital,Breast,2,-117.66996,35.6404
2020,Kern,Ridgecrest Regional Hospital,Breast,14,-117.66996,35.6404
2017,Kern,Ridgecrest Regional Hospital,Colon,2,-117.66996,35.6404
2020,Kern,Ridgecrest Regional Hospital,Colon,1,-117.66996,35.6404
2019,Kern,Ridgecrest Regional Hospital,Breast,6,-117.66996,35.6404
2020,Kern,Ridgecrest Regional Hospital,Rectum,2,-117.66996,35.6404
2021,Kern,Adventist Health Bakersfield,Stomach,1,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Pancreas,2,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Rectum,12,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Rectum,6,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Bladder,1,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Colon,44,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Liver,1,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Bladder,1,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Breast,193,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Lung,4,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Stomach,6,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Brain,7,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Prostate,7,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Stomach,3,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Pancreas,1,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Lung,2,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Pancreas,1,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Stomach,1,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Stomach,4,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Colon,42,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Prostate,13,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Brain,11,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Breast,78,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Liver,1,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Brain,17,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Breast,200,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Lung,11,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Colon,45,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Brain,6,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Rectum,11,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Prostate,40,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Rectum,16,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Breast,160,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Lung,3,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Brain,15,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Pancreas,1,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Pancreas,2,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Liver,2,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Brain,12,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Breast,147,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Breast,93,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Pancreas,2,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Lung,6,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Colon,48,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Colon,36,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Prostate,14,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Lung,7,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Liver,1,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Pancreas,2,-119.018775,35.383064
2020,Kern,Adventist Health Bakersfield,Rectum,10,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Breast,66,-119.018775,35.383064
2017,Kern,Adventist Health Bakersfield,Prostate,25,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Bladder,1,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Prostate,23,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Liver,2,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Rectum,10,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Breast,172,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Bladder,2,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Prostate,16,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Lung,6,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Colon,63,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Lung,3,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Colon,49,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Brain,14,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Stomach,5,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Rectum,16,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Brain,13,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Colon,50,-119.018775,35.383064
2016,Kern,Adventist Health Bakersfield,Breast,170,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Rectum,5,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Rectum,5,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Colon,31,-119.018775,35.383064
2013,Kern,Adventist Health Bakersfield,Stomach,2,-119.018775,35.383064
2015,Kern,Adventist Health Bakersfield,Lung,5,-119.018775,35.383064
2018,Kern,Adventist Health Bakersfield,Prostate,40,-119.018775,35.383064
2014,Kern,Adventist Health Bakersfield,Stomach,5,-119.018775,35.383064
2021,Kern,Adventist Health Bakersfield,Prostate,18,-119.018775,35.383064
2019,Kern,Adventist Health Bakersfield,Brain,13,-119.018775,35.383064
2017,Kern,Bakersfield Heart Hospital,Colon,5,-119.04314,35.38619
2018,Kern,Bakersfield Heart Hospital,Breast,1,-119.04314,35.38619
2018,Kern,Bakersfield Heart Hospital,Colon,4,-119.04314,35.38619
2020,Kern,Bakersfield Heart Hospital,Colon,12,-119.04314,35.38619
2016,Kern,Bakersfield Heart Hospital,Prostate,1,-119.04314,35.38619
2015,Kern,Bakersfield Heart Hospital,Breast,1,-119.04314,35.38619
2019,Kern,Bakersfield Heart Hospital,Colon,4,-119.04314,35.38619
2017,Kern,Bakersfield Heart Hospital,Breast,4,-119.04314,35.38619
2013,Kern,Bakersfield Heart Hospital,Colon,4,-119.04314,35.38619
2018,Kern,Bakersfield Heart Hospital,Liver,1,-119.04314,35.38619
2016,Kern,Bakersfield Heart Hospital,Colon,6,-119.04314,35.38619
2016,Kern,Bakersfield Heart Hospital,Breast,2,-119.04314,35.38619
2015,Kern,Bakersfield Heart Hospital,Stomach,2,-119.04314,35.38619
2019,Kern,Bakersfield Heart Hospital,Rectum,1,-119.04314,35.38619
2014,Kern,Bakersfield Heart Hospital,Colon,7,-119.04314,35.38619
2013,Kern,Bakersfield Heart Hospital,Breast,2,-119.04314,35.38619
2014,Kern,Bakersfield Heart Hospital,Breast,3,-119.04314,35.38619
2015,Kern,Bakersfield Heart Hospital,Rectum,1,-119.04314,35.38619
2017,Kern,Bakersfield Heart Hospital,Stomach,1,-119.04314,35.38619
2020,Kern,Bakersfield Heart Hospital,Rectum,1,-119.04314,35.38619
2018,Kern,Bakersfield Heart Hospital,Lung,1,-119.04314,35.38619
2014,Kern,Bakersfield Heart Hospital,Lung,1,-119.04314,35.38619
2021,Kern,Bakersfield Heart Hospital,Breast,1,-119.04314,35.38619
2015,Kern,Bakersfield Heart Hospital,Colon,9,-119.04314,35.38619
2013,Kern,Bakersfield Heart Hospital,Stomach,1,-119.04314,35.38619
2021,Kern,Bakersfield Heart Hospital,Colon,4,-119.04314,35.38619
2021,Kern,Adventist Health Tehachapi Valley,Colon,1,-118.44924,35.14302
2019,Kern,Adventist Health Tehachapi Valley,Rectum,1,-118.44924,35.14302
2014,Kings,Adventist Health Hanford,Breast,72,-119.6683912,36.3256247
2018,Kings,Adventist Health Hanford,Rectum,6,-119.6683912,36.3256247
2017,Kings,Adventist Health Hanford,Esophagus,1,-119.6683912,36.3256247
2021,Kings,Adventist Health Hanford,Pancreas,1,-119.6683912,36.3256247
2020,Kings,Adventist Health Hanford,Esophagus,1,-119.6683912,36.3256247
2018,Kings,Adventist Health Hanford,Esophagus,1,-119.6683912,36.3256247
2018,Kings,Adventist Health Hanford,Breast,34,-119.6683912,36.3256247
2017,Kings,Adventist Health Hanford,Rectum,9,-119.6683912,36.3256247
2020,Kings,Adventist Health Hanford,Breast,26,-119.6683912,36.3256247
2015,Kings,Adventist Health Hanford,Lung,2,-119.6683912,36.3256247
2014,Kings,Adventist Health Hanford,Rectum,7,-119.6683912,36.3256247
2019,Kings,Adventist Health Hanford,Rectum,3,-119.6683912,36.3256247
2017,Kings,Adventist Health Hanford,Breast,40,-119.6683912,36.3256247
2013,Kings,Adventist Health Hanford,Rectum,6,-119.6683912,36.3256247
2016,Kings,Adventist Health Hanford,Esophagus,3,-119.6683912,36.3256247
